Title,Description,Status,Priority,Estimate,Labels,Project
"E3-S2 V2 dispatch path in Telegram webhook","If version=v2, call `processInbound({history, newMessage, existingDraft})` from `services/intakeConversationManager`. Send the `replyText` back to Telegram via the existing `sendTelegramMessage`. Persist the citizen message + bot reply into `channel_conversations.metadata_json.history[]`.",Todo,High,3,"backend;intake;telegram",W2-D3 Intake V2 Webhook
"E3-S3 Persist draftUpdates cumulatively per conversation","Merge `draftUpdates` from the response into `channel_conversations.metadata_json.draft`. Pass the merged draft as `existingDraft` on the next inbound. Reset `draft` after a ticket is filed.",Todo,High,2,"backend;intake;persistence",W2-D3 Intake V2 Webhook
"E3-S4 File the ticket when readyToFile=true (in_scope)","Reuse `services/ticketService.createTicket` with the accumulated draft. Send the citizen a confirmation message in their language (use the bot's replyText for the file-confirmation turn, OR a follow-up message generated by `processInbound` with the new ticket_number).",Todo,High,2,"backend;intake;ticketing",W2-D3 Intake V2 Webhook
"E3-S5 File needs-review ticket flagged for human review","Same as S4 but ensure `needs_triage=true` and the ticket gets a `needs_review_by_intake` audit-log row noting `scopeReason`. Central support sees it in their queue. Bot tells citizen 'we're looking into it'.",Todo,High,2,"backend;intake;ticketing;triage",W2-D3 Intake V2 Webhook
"E3-S6 Per-chat allowlist for staged V2 rollout","Env var `V2_INTAKE_ALLOWLIST=chat_id1,chat_id2`. Webhook checks this; if non-empty, V2 only runs for chat_ids in the list (regardless of org setting). If empty, org setting alone decides. Drop the env var once V2 is fully trusted.",Todo,High,1,"backend;feature-flag",W2-D3 Intake V2 Webhook
"E4-S1 Provision new Supabase project","Create JTG-prod Supabase project. Copy URL + anon key + service role key.",Todo,Urgent,1,"infra;provisioning",JTG Production Launch
"E4-S2 Provision new Vercel project","Connect Vercel to the same `Abhijit-sai/vocal-app` repo. Configure project name, env vars to be set in S6, domain (TBD).",Todo,Urgent,1,"infra;provisioning",JTG Production Launch
"E4-S3 Provision new Clerk app","Create JTG Clerk application (or sub-env on existing account). Copy publishable + secret keys. Configure sign-in/up redirect URLs to the JTG Vercel host.",Todo,Urgent,1,"infra;provisioning;auth",JTG Production Launch
"E4-S4 Register @JTG_citizen_bot via @BotFather","Create the bot, set bio + commands. Save the bot token. Generate a 64-char hex webhook secret. Update `TENANT_CONFIG.bots.citizen.username` in `config/tenant.config.ts` on the JTG branch.",Todo,Urgent,1,"infra;telegram",JTG Production Launch
"E4-S5 Register @JTG_worker_bot via @BotFather","Same as S4 for the worker bot. Update `TENANT_CONFIG.bots.worker.username`.",Todo,Urgent,1,"infra;telegram",JTG Production Launch
"E4-S6 Set env vars in Vercel + register webhooks","12 env vars (Supabase × 3, Clerk × 4, Telegram × 4, Org × 1). Use the existing checklist from .env.local.example. After deploy, call setWebhook on each bot pointing at the JTG Vercel host.",Todo,Urgent,1,"infra;configuration",JTG Production Launch
"E4-S7 Apply migrations 001-006 to JTG Supabase","Paste each migration SQL into the Supabase SQL editor in order. Verify the row counts after each.",Todo,Urgent,1,"infra;database",JTG Production Launch
"E4-S8 Run seed:telangana-tier-a against JTG","Local: `ORG_ID=<jtg_org> npm run seed:telangana-tier-a`. Creates 165 rows: 1 state + 33 districts + 119 ACs + 13 mandals (Rajanna Sircilla).",Todo,Urgent,1,"data;seed",JTG Production Launch
"E4-S9 Run Sircilla village seed (Tier B)","The 117 villages are already inside `scripts/data/telangana/mandals/rajanna-sircilla.json` under each mandal's `villages[]`. The same seed runner picks them up — no separate step needed once the script's village loop is verified.",Todo,Urgent,1,"data;seed",JTG Production Launch
"E4-S10 Seed Sircilla-specific local gov contacts","User to source the list: MLA office, MROs (5 mandals), tehsildars, ward members, police circle inspectors, electricity-board feeders, etc. Drop into a CSV; extend `seed-gov-contacts.ts` to accept a `--csv=path` argument; run against JTG DB.",Todo,Urgent,2,"data;seed;directory",JTG Production Launch
"E4-S11 Bootstrap super_admin user","Create Clerk user → manually insert matching `users` row in JTG Supabase with `role_id` = super_admin UUID, `organization_id` = JTG org. First sign-in via Clerk binds the `clerk_user_id`.",Todo,Urgent,1,"data;users;auth",JTG Production Launch
"E4-S12 Bootstrap central_support team (2-3 users)","Same pattern as S11. Hand over the Clerk invite + first-time-login flow to the operators.",Todo,Urgent,1,"data;users",JTG Production Launch
"E4-S13 Bootstrap initial ground_workers (5-10)","Same pattern. Each worker also gets `user_territories` rows mapping them to specific Sircilla AC wards/villages they cover. CSV-driven script to bulk-create.",Todo,Urgent,2,"data;users;territory",JTG Production Launch
"E4-S14 Smoke-test end-to-end on Telegram","Real citizen Telegram account → send to @JTG_citizen_bot → confirm ticket created in JTG DB → confirm assigned worker received the alert on @JTG_worker_bot → accept → status updates → close. Repeat with a needs_review case + an out_of_scope case if V2 is on.",Todo,Urgent,2,"qa;e2e",JTG Production Launch
"E4-S15 Soft-launch with limited initial cohort","First 24h: only seeded test citizens. Then open to ~50 real users sourced via JTG ground team. Monitor /audit + Supabase logs hourly.",Todo,Urgent,2,"launch;ops",JTG Production Launch
"E4-S16 Operational runbook + worker training material","One-pager for central support: how to triage, when to use Amplify, how to handle a needs_review ticket. Short video (5 min) for ground workers: how to link Telegram, how to accept, how to update status, how to upload a photo.",Todo,High,3,"docs;training",JTG Production Launch
"E5-S1 Mandal data for the other 32 districts","Per-district JSON files following the `rajanna-sircilla.json` schema. Source from Wikipedia + Telangana revenue. Drop into `scripts/data/telangana/mandals/`. Re-running the seed picks them up.",Backlog,Medium,8,"data;seed;territory",Geographic Data Completion
"E5-S2 GHMC ward-level data for Hyderabad","150 wards, each under the correct AC. Important because civic complaint volume in Hyderabad will be high relative to other districts.",Backlog,Medium,3,"data;seed;territory;urban",Geographic Data Completion
"E5-S3 Village-level data for non-Sircilla mandals","Long tail. Only add when a new constituency client signs and needs ward-level accuracy.",Backlog,Low,13,"data;seed;territory",Geographic Data Completion
"E5-S4 CSV import pipeline for non-developer onboarders","UI under /admin/territories that lets central support drop a CSV and run the seed without code changes. Stretches into the Territory Admin UI epic.",Backlog,Medium,3,"frontend;data;ops",Geographic Data Completion
"E6-S1 Clerk → Supabase JWT integration + flip pages to RLS","Configure JWT template in Clerk pointing at Supabase. Enable third-party auth in Supabase dashboard. Migrate `/tickets`, `/my-assignments`, `/triage`, `/dashboard`, `/directory` to use `createSupabaseUserClient()` one at a time. Verify each role's access.",Backlog,Medium,5,"security;rls;auth",Post-Launch Hardening
"E6-S2 Territory Admin UI","Tree view, create/edit/delete nodes, set centroids. Replaces CSV/JSON workflow. Lives at /admin/territories. Super_admin + central_support.",Backlog,Medium,5,"frontend;admin;territory",Post-Launch Hardening
"E6-S3 External cron for expire-assignments","Replace `/jobs` manual button. Set up cron-job.org or Upstash QStash to hit `/api/cron/expire-assignments` every minute with a CRON_SECRET header.",Backlog,High,2,"infra;cron",Post-Launch Hardening
"E6-S4 External cron for worker daily reminders","Same pattern. Hit `/api/cron/worker-reminders` once per morning per org.",Backlog,Medium,1,"infra;cron",Post-Launch Hardening
"E6-S5 Sentry / error tracking","Add @sentry/nextjs. Client + server SDKs. Sample rate 10%. Tag releases.",Backlog,Medium,2,"infra;observability",Post-Launch Hardening
"E6-S6 Reports CSV / XLSX export","All report views downloadable. Audit-logged. Restricted by role + territory.",Backlog,Medium,3,"frontend;reports;export",Post-Launch Hardening
"E6-S7 Worker leaderboards on /reports","Resolution count, avg time-to-resolution, acceptance ratio, SLA-met rate. Tabular + sortable.",Backlog,Medium,3,"frontend;reports",Post-Launch Hardening
"E6-S8 Mobile-responsive tables","Card-view at <md breakpoint for /tickets, /triage, /workers. They currently overflow horizontally on phones.",Backlog,Medium,3,"frontend;mobile",Post-Launch Hardening
"E6-S9 WhatsApp adapter via Gupshup or Wati","Adapter plugs into intakeConversationManager (it's channel-agnostic). BSP setup, webhook, template approvals. ~1 week including business verification.",Backlog,High,8,"backend;channels;whatsapp",Post-Launch Hardening
"E6-S10 Apply migration 006 + verify V1↔V2 switch","User action: paste 006 SQL into Supabase SQL editor for both demo and JTG projects. Verify /admin/intake-settings save now works without error.",Todo,High,1,"ops;migration",Post-Launch Hardening
"E7-S1 Voice transcription preprocessing via Gemini multimodal","Bot downloads voice note via Telegram getFile → sends to Gemini → extracts transcript + detected language → places into `IntakeRequest.newMessage.media.voice_transcript`.",Backlog,Low,3,"backend;intake;multimodal",Multimodal Intake (Parked)
"E7-S2 Image vision description via Gemini multimodal","Bot pipes image URL to Gemini Vision → description + extracted-text from any signs/documents → into `media.image_description`.",Backlog,Low,3,"backend;intake;multimodal",Multimodal Intake (Parked)
"E7-S3 Wire media preprocessing into webhook V2 path","Runs BEFORE `processInbound()` so the LLM sees the enriched context. Time budget: 8s max for voice, 5s for image. If timeout, fall through to text-only with a warning.",Backlog,Low,2,"backend;intake;multimodal",Multimodal Intake (Parked)
"E7-S4 Sarvam AI fallback for Telugu/Tinglish voice","Optional quality upgrade. Only triggered when Gemini's transcript confidence is low. Adds a new vendor account.",Backlog,Low,2,"backend;intake;multimodal;telugu",Multimodal Intake (Parked)
"E8-S1 Stand up AWS RDS Postgres for JTG production","Multi-AZ, daily automated backups, parameter group tuned. Security group restricting access to the ECS/EC2 cluster.",Backlog,Medium,3,"infra;aws;postgres",AWS Migration
"E8-S2 Self-host Supabase OSS stack on ECS or EC2","Docker Compose: PostgREST + Studio + GoTrue (disabled — Clerk handles auth) + Storage. Zero application code change.",Backlog,Medium,5,"infra;aws;supabase",AWS Migration
"E8-S3 Migrate JTG data via pg_dump / pg_restore","One-shot cutover. Plan ~30 min downtime. Verify row counts. Roll back if anything mismatches.",Backlog,Medium,2,"ops;migration;aws",AWS Migration
"E8-S4 Move Next.js app from Vercel to AWS","Run `next start` on AWS App Runner or ECS. Set up EventBridge for cron jobs (replaces external cron). Configure domain + TLS.",Backlog,Medium,3,"infra;aws;hosting",AWS Migration
"E8-S5 Wire CloudWatch + alerts","Replace Vercel's observability. Tail application logs, RDS slow-query logs, basic up/down checks.",Backlog,Medium,2,"infra;observability;aws",AWS Migration
